year,method,family,venue,status,dataset,views,psnr,ssim,lpips,avge,protocol_note,source_url
2024,DNGaussian,3DGS,CVPR 2024,peer-reviewed,LLFF,3,19.12,0.591,0.294,0.132,"8 scenes; 8x downsample; standard sparse-view split",https://openaccess.thecvf.com/content/CVPR2024/papers/Li_DNGaussian_Optimizing_Sparse-View_3D_Gaussian_Radiance_Fields_with_Global-Local_Depth_CVPR_2024_paper.pdf
2024,DNGaussian,3DGS,CVPR 2024,peer-reviewed,DTU,3,18.91,0.790,0.176,0.102,"15 scenes; train 25/22/28; masked; 4x downsample",https://openaccess.thecvf.com/content/CVPR2024/papers/Li_DNGaussian_Optimizing_Sparse-View_3D_Gaussian_Radiance_Fields_with_Global-Local_Depth_CVPR_2024_paper.pdf
2024,CoR-GS,3DGS,ECCV 2024,peer-reviewed,LLFF,3,20.45,0.712,0.196,0.101,"8 scenes; standard split; appendix aggregate",https://arxiv.org/abs/2405.12110
2024,CoR-GS,3DGS,ECCV 2024,peer-reviewed,LLFF,6,24.49,0.837,0.115,0.060,"8 scenes; standard split; appendix aggregate",https://arxiv.org/abs/2405.12110
2024,CoR-GS,3DGS,ECCV 2024,peer-reviewed,LLFF,9,26.06,0.874,0.089,0.046,"8 scenes; standard split; appendix aggregate",https://arxiv.org/abs/2405.12110
2024,CoR-GS,3DGS,ECCV 2024,peer-reviewed,DTU,3,19.21,0.853,0.119,0.087,"15 scenes; standard IDs; masked; 4x downsample",https://arxiv.org/abs/2405.12110
2024,CoR-GS,3DGS,ECCV 2024,peer-reviewed,DTU,6,24.51,0.917,0.068,0.046,"15 scenes; standard nested training IDs; masked; 4x downsample",https://arxiv.org/abs/2405.12110
2024,CoR-GS,3DGS,ECCV 2024,peer-reviewed,DTU,9,27.18,0.947,0.045,0.029,"15 scenes; standard nested training IDs; masked; 4x downsample",https://arxiv.org/abs/2405.12110
2024,IPSM-Gaussian,3DGS,NeurIPS 2024,peer-reviewed,LLFF,3,20.44,0.702,0.207,0.101,"3-run mean; 8 scenes; standard split; 8x downsample",https://proceedings.neurips.cc/paper_files/paper/2024/file/362d683723e7d6c12a093961ec2e5051-Paper-Conference.pdf
2024,IPSM-Gaussian,3DGS,NeurIPS 2024,peer-reviewed,LLFF,6,23.94,0.818,0.135,0.061,"3-run mean; same hyperparameters as 3-view",https://proceedings.neurips.cc/paper_files/paper/2024/file/362d683723e7d6c12a093961ec2e5051-Paper-Conference.pdf
2024,IPSM-Gaussian,3DGS,NeurIPS 2024,peer-reviewed,LLFF,9,25.13,0.855,0.111,0.051,"3-run mean; same hyperparameters as 3-view",https://proceedings.neurips.cc/paper_files/paper/2024/file/362d683723e7d6c12a093961ec2e5051-Paper-Conference.pdf
2024,IPSM-Gaussian,3DGS,NeurIPS 2024,peer-reviewed,DTU,3,19.99,0.856,0.121,0.077,"3-run mean; 15 scenes; train 25/22/28; masked; 4x downsample",https://proceedings.neurips.cc/paper_files/paper/2024/file/362d683723e7d6c12a093961ec2e5051-Paper-Conference.pdf
2025,SYN3R,3DGS + video diffusion,NeurIPS 2025,peer-reviewed,LLFF,3,20.61,0.705,0.201,,"8 scenes; 8x downsample; test-time video completion",https://proceedings.neurips.cc/paper_files/paper/2025/hash/4254e856d01a5e7b7ea050477c3ef9b9-Abstract-Conference.html
2025,SYN3R,3DGS + video diffusion,NeurIPS 2025,peer-reviewed,DTU,3,20.51,0.840,0.137,,"15 scenes; train 25/22/28; masked; 4x downsample",https://proceedings.neurips.cc/paper_files/paper/2025/hash/4254e856d01a5e7b7ea050477c3ef9b9-Abstract-Conference.html
2025,Binocular3DGS + Gaussian Dropout,3DGS regularization,NeurIPS 2025,peer-reviewed,LLFF,3,22.12,0.777,0.154,,"Reported plug-in setting; dropout p=0.2",https://papers.neurips.cc/paper_files/paper/2025/hash/a831bd2b1bf8935641a5c890a158c519-Abstract-Conference.html
2025,Binocular3DGS + Gaussian Dropout,3DGS regularization,NeurIPS 2025,peer-reviewed,DTU,3,21.03,0.875,0.108,,"Reported plug-in setting; dropout p=0.2",https://papers.neurips.cc/paper_files/paper/2025/hash/a831bd2b1bf8935641a5c890a158c519-Abstract-Conference.html
2026,EdgeNeRF,NeRF,arXiv 2026,preprint,LLFF,3,19.42,0.699,0.317,,"8 scenes; every 8th test; uniform train; 504x378",https://arxiv.org/abs/2601.01431
2026,EdgeNeRF,NeRF,arXiv 2026,preprint,DTU,3,19.42,0.828,0.205,,"15-scene RegNeRF protocol; masked evaluation",https://arxiv.org/abs/2601.01431
2026,ICO-GS,3DGS,CVPR 2026,peer-reviewed,LLFF,3,22.20,0.778,0.157,,"3-run mean; 8x downsample; dense point initialization",https://openaccess.thecvf.com/content/CVPR2026/papers/Xiong_Intrinsic_Geometry-Appearance_Consistency_Optimization_for_Sparse-View_Gaussian_Splatting_CVPR_2026_paper.pdf
2026,ICO-GS,3DGS,CVPR 2026,peer-reviewed,LLFF,6,25.37,0.856,0.109,,"3-run mean; 8x downsample; dense point initialization",https://openaccess.thecvf.com/content/CVPR2026/papers/Xiong_Intrinsic_Geometry-Appearance_Consistency_Optimization_for_Sparse-View_Gaussian_Splatting_CVPR_2026_paper.pdf
2026,ICO-GS,3DGS,CVPR 2026,peer-reviewed,LLFF,9,26.45,0.881,0.096,,"3-run mean; 8x downsample; dense point initialization",https://openaccess.thecvf.com/content/CVPR2026/papers/Xiong_Intrinsic_Geometry-Appearance_Consistency_Optimization_for_Sparse-View_Gaussian_Splatting_CVPR_2026_paper.pdf
