pair_index,frame_id,old_source,new_source,paired_output
000,0000,test/our/DTU/scan114-10k可/color_000.png,test_DTU/test_scan114/few_shot3_legacy_old43/test_DiffusioNeRF_NeurTV_Ray_30k_seed0/evaluation/step_010002/raw/frames/frame_0000_rgb.png,pairs/pair_000_frame_0000.png
001,0002,test/our/DTU/scan114-10k可/color_001.png,test_DTU/test_scan114/few_shot3_legacy_old43/test_DiffusioNeRF_NeurTV_Ray_30k_seed0/evaluation/step_010002/raw/frames/frame_0002_rgb.png,pairs/pair_001_frame_0002.png
002,0006,test/our/DTU/scan114-10k可/color_002.png,test_DTU/test_scan114/few_shot3_legacy_old43/test_DiffusioNeRF_NeurTV_Ray_30k_seed0/evaluation/step_010002/raw/frames/frame_0006_rgb.png,pairs/pair_002_frame_0006.png
003,0007,test/our/DTU/scan114-10k可/color_003.png,test_DTU/test_scan114/few_shot3_legacy_old43/test_DiffusioNeRF_NeurTV_Ray_30k_seed0/evaluation/step_010002/raw/frames/frame_0007_rgb.png,pairs/pair_003_frame_0007.png
004,0008,test/our/DTU/scan114-10k可/color_004.png,test_DTU/test_scan114/few_shot3_legacy_old43/test_DiffusioNeRF_NeurTV_Ray_30k_seed0/evaluation/step_010002/raw/frames/frame_0008_rgb.png,pairs/pair_004_frame_0008.png
005,0009,test/our/DTU/scan114-10k可/color_005.png,test_DTU/test_scan114/few_shot3_legacy_old43/test_DiffusioNeRF_NeurTV_Ray_30k_seed0/evaluation/step_010002/raw/frames/frame_0009_rgb.png,pairs/pair_005_frame_0009.png
006,0010,test/our/DTU/scan114-10k可/color_006.png,test_DTU/test_scan114/few_shot3_legacy_old43/test_DiffusioNeRF_NeurTV_Ray_30k_seed0/evaluation/step_010002/raw/frames/frame_0010_rgb.png,pairs/pair_006_frame_0010.png
007,0011,test/our/DTU/scan114-10k可/color_007.png,test_DTU/test_scan114/few_shot3_legacy_old43/test_DiffusioNeRF_NeurTV_Ray_30k_seed0/evaluation/step_010002/raw/frames/frame_0011_rgb.png,pairs/pair_007_frame_0011.png
008,0012,test/our/DTU/scan114-10k可/color_008.png,test_DTU/test_scan114/few_shot3_legacy_old43/test_DiffusioNeRF_NeurTV_Ray_30k_seed0/evaluation/step_010002/raw/frames/frame_0012_rgb.png,pairs/pair_008_frame_0012.png
009,0013,test/our/DTU/scan114-10k可/color_009.png,test_DTU/test_scan114/few_shot3_legacy_old43/test_DiffusioNeRF_NeurTV_Ray_30k_seed0/evaluation/step_010002/raw/frames/frame_0013_rgb.png,pairs/pair_009_frame_0013.png
010,0014,test/our/DTU/scan114-10k可/color_010.png,test_DTU/test_scan114/few_shot3_legacy_old43/test_DiffusioNeRF_NeurTV_Ray_30k_seed0/evaluation/step_010002/raw/frames/frame_0014_rgb.png,pairs/pair_010_frame_0014.png
011,0015,test/our/DTU/scan114-10k可/color_011.png,test_DTU/test_scan114/few_shot3_legacy_old43/test_DiffusioNeRF_NeurTV_Ray_30k_seed0/evaluation/step_010002/raw/frames/frame_0015_rgb.png,pairs/pair_011_frame_0015.png
012,0016,test/our/DTU/scan114-10k可/color_012.png,test_DTU/test_scan114/few_shot3_legacy_old43/test_DiffusioNeRF_NeurTV_Ray_30k_seed0/evaluation/step_010002/raw/frames/frame_0016_rgb.png,pairs/pair_012_frame_0016.png
013,0017,test/our/DTU/scan114-10k可/color_013.png,test_DTU/test_scan114/few_shot3_legacy_old43/test_DiffusioNeRF_NeurTV_Ray_30k_seed0/evaluation/step_010002/raw/frames/frame_0017_rgb.png,pairs/pair_013_frame_0017.png
014,0018,test/our/DTU/scan114-10k可/color_014.png,test_DTU/test_scan114/few_shot3_legacy_old43/test_DiffusioNeRF_NeurTV_Ray_30k_seed0/evaluation/step_010002/raw/frames/frame_0018_rgb.png,pairs/pair_014_frame_0018.png
015,0019,test/our/DTU/scan114-10k可/color_015.png,test_DTU/test_scan114/few_shot3_legacy_old43/test_DiffusioNeRF_NeurTV_Ray_30k_seed0/evaluation/step_010002/raw/frames/frame_0019_rgb.png,pairs/pair_015_frame_0019.png
016,0020,test/our/DTU/scan114-10k可/color_016.png,test_DTU/test_scan114/few_shot3_legacy_old43/test_DiffusioNeRF_NeurTV_Ray_30k_seed0/evaluation/step_010002/raw/frames/frame_0020_rgb.png,pairs/pair_016_frame_0020.png
017,0021,test/our/DTU/scan114-10k可/color_017.png,test_DTU/test_scan114/few_shot3_legacy_old43/test_DiffusioNeRF_NeurTV_Ray_30k_seed0/evaluation/step_010002/raw/frames/frame_0021_rgb.png,pairs/pair_017_frame_0021.png
018,0022,test/our/DTU/scan114-10k可/color_018.png,test_DTU/test_scan114/few_shot3_legacy_old43/test_DiffusioNeRF_NeurTV_Ray_30k_seed0/evaluation/step_010002/raw/frames/frame_0022_rgb.png,pairs/pair_018_frame_0022.png
019,0024,test/our/DTU/scan114-10k可/color_019.png,test_DTU/test_scan114/few_shot3_legacy_old43/test_DiffusioNeRF_NeurTV_Ray_30k_seed0/evaluation/step_010002/raw/frames/frame_0024_rgb.png,pairs/pair_019_frame_0024.png
